,date,close,diff,open,high,low,volume
7055,2014-02-14,1301000,3000,1296000,1308000,1292000,124415
7056,2014-02-13,1298000,9000,1300000,1320000,1290000,116769
7057,2014-02-12,1307000,4000,1331000,1331000,1305000,200548
7058,2014-02-11,1311000,34000,1281000,1315000,1272000,253680
7059,2014-02-10,1277000,2000,1271000,1281000,1262000,155993
7040,2014-02-07,1275000,16000,1275000,1279000,1263000,198872
7041,2014-02-06,1259000,22000,1245000,1267000,1240000,303949
7042,2014-02-05,1237000,12000,1245000,1255000,1234000,298533
7043,2014-02-04,1249000,23000,1263000,1263000,1249000,320660
7044,2014-02-03,1272000,8000,1286000,1288000,1271000,325184
7045,2014-01-29,1280000,3000,1280000,1288000,1277000,383637
7046,2014-01-28,1283000,9000,1273000,1293000,1273000,234027
7047,2014-01-27,1292000,15000,1293000,1304000,1285000,266926
7048,2014-01-24,1307000,8000,1300000,1318000,1291000,280035
7049,2014-01-23,1299000,29000,1316000,1322000,1299000,206739
7030,2014-01-22,1328000,4000,1314000,1328000,1312000,216530
7031,2014-01-21,1324000,8000,1315000,1327000,1311000,151246
7032,2014-01-20,1316000,24000,1305000,1319000,1296000,173656
7033,2014-01-17,1292000,9000,1301000,1315000,1292000,255485
7034,2014-01-16,1301000,2000,1300000,1310000,1293000,195049
7035,2014-01-15,1299000,14000,1330000,1331000,1298000,234949
7036,2014-01-14,1313000,18000,1297000,1330000,1290000,294333
7037,2014-01-13,1295000,23000,1283000,1297000,1273000,328987
7038,2014-01-10,1272000,3000,1275000,1286000,1272000,363783
7039,2014-01-09,1275000,16000,1307000,1307000,1275000,425019
7020,2014-01-08,1291000,13000,1300000,1304000,1287000,409493
7021,2014-01-07,1304000,3000,1300000,1318000,1295000,395264
7022,2014-01-06,1307000,11000,1303000,1320000,1296000,394716
7023,2014-01-03,1296000,13000,1300000,1311000,1287000,529932
7024,2014-01-02,1309000,63000,1348000,1355000,1302000,620500
7025,2013-12-30,1372000,24000,1396000,1397000,1360000,338162
7026,2013-12-27,1396000,12000,1410000,1411000,1395000,210200
7027,2013-12-26,1408000,7000,1408000,1415000,1401000,246156
7028,2013-12-24,1415000,18000,1430000,1432000,1415000,219607
7029,2013-12-23,1433000,6000,1437000,1438000,1429000,212784
7010,2013-12-20,1427000,0,1413000,1427000,1413000,168148
7011,2013-12-19,1427000,26000,1418000,1434000,1418000,211048
7012,2013-12-18,1401000,6000,1405000,1410000,1394000,217984
