,date,close,diff,open,high,low,volume
3398,2015-01-05,174500,5500,179000,179500,173500,318170
3399,2015-01-02,180000,1000,179500,180500,177000,231092
3380,2014-12-30,181000,2500,183000,185000,179000,173787
3381,2014-12-29,183500,2000,183000,184500,180500,161694
3382,2014-12-26,185500,0,185000,188000,185000,186117
3383,2014-12-24,185500,1000,184500,186500,183000,168930
3384,2014-12-23,184500,5000,188500,189000,182000,407095
3385,2014-12-22,189500,1000,190500,192000,188500,187653
3386,2014-12-19,190500,2500,196000,197000,187000,248795
3387,2014-12-18,193000,1500,196000,197000,191000,175784
3388,2014-12-17,191500,2000,195000,195000,190000,178729
3389,2014-12-16,189500,500,188500,193000,187500,185582
3370,2014-12-15,190000,6000,181500,191000,180000,215013
3371,2014-12-12,184000,2500,187000,189000,183000,198816
3372,2014-12-11,186500,2000,183000,187500,180000,433830
3373,2014-12-10,188500,9500,198000,198500,186500,376000
3374,2014-12-09,198000,3000,198500,202500,196000,241166
3375,2014-12-08,201000,2500,200500,203000,199000,152348
3376,2014-12-05,198500,500,198000,199500,196000,123914
3377,2014-12-04,198000,2000,196000,201000,196000,176961
3378,2014-12-03,196000,1500,195500,198000,195000,157162
3379,2014-12-02,194500,1000,198000,200000,194000,235777
3360,2014-12-01,195500,11000,201500,202500,193500,453197
3361,2014-11-28,206500,3000,202500,208500,200500,342142
3362,2014-11-27,209500,4500,212000,214000,206000,274851
3363,2014-11-26,214000,500,213500,218500,210000,201687
3364,2014-11-25,214500,4500,219000,223500,213500,314609
3365,2014-11-24,219000,11000,217500,226500,216000,599885
3366,2014-11-21,208000,4000,205000,210500,205000,248906
3367,2014-11-20,204000,1000,204500,206000,201000,175285
3368,2014-11-19,203000,5500,209500,210000,200000,260618
3369,2014-11-18,208500,1000,206000,210500,206000,264183
3350,2014-11-17,207500,5000,202500,211000,198000,334706
3351,2014-11-14,202500,1000,203500,203500,197000,211186
3352,2014-11-13,203500,1500,203000,210000,202500,493590
3353,2014-11-12,202000,12000,190000,203500,190000,445037
3354,2014-11-11,190000,2500,193000,194000,188500,208905
3355,2014-11-10,192500,4000,190000,195000,190000,240020
3356,2014-11-07,188500,4000,184500,191500,183000,311403
3357,2014-11-06,184500,10500,176500,186000,175500,535073
3358,2014-11-05,174000,5000,178500,179500,172500,491508
3359,2014-11-04,179000,11000,188500,190500,177500,604269
3340,2014-11-03,190000,10000,200500,200500,188000,491064
3341,2014-10-31,200000,500,202500,203000,198500,370594
3342,2014-10-30,199500,2000,202500,207000,197000,389301
3343,2014-10-29,201500,10500,194000,204500,193000,756910
3344,2014-10-28,191000,1000,190000,192500,189000,257996
3345,2014-10-27,190000,6500,185000,192000,184500,599877
3346,2014-10-24,183500,0,185000,189500,181500,671489
3347,2014-10-23,183500,10500,194500,195500,181000,1050706
3348,2014-10-22,194000,0,197000,197500,185000,959852
3349,2014-10-21,194000,32000,219000,219000,193000,1952550
3330,2014-10-20,226000,1500,226500,228500,225500,202698
3331,2014-10-17,224500,1500,226000,226500,222500,213520
3332,2014-10-16,223000,1000,222000,225000,219000,233415
3333,2014-10-15,224000,2500,226500,227500,223500,204538
3334,2014-10-14,226500,500,225000,230500,224000,289540
3335,2014-10-13,226000,4000,226000,228000,222000,382633
3336,2014-10-10,230000,7000,234000,234500,228000,380655
3337,2014-10-08,237000,5000,238000,240000,235000,216687
3338,2014-10-07,242000,500,244000,247500,240000,132458
3339,2014-10-06,242500,1500,244000,246000,242000,183388
3320,2014-10-02,241000,8000,249000,249500,237500,430852
3321,2014-10-01,249000,6500,251500,258500,247500,298996
3322,2014-09-30,255500,500,255000,258500,252000,192838
3323,2014-09-29,255000,13000,266500,267000,250500,531771
3324,2014-09-26,268000,4500,269000,270000,265000,194594
3325,2014-09-25,272500,0,274500,276500,269500,176237
3326,2014-09-24,272500,500,273000,273000,270500,156023
3327,2014-09-23,273000,2000,275000,275500,270000,146718
3328,2014-09-22,275000,2000,277000,278000,272000,131663
3329,2014-09-19,277000,2000,276000,277500,275500,143294
3310,2014-09-18,275000,1000,275500,277000,273000,116049
3311,2014-09-17,274000,7500,269000,276500,268500,211712
3312,2014-09-16,266500,1000,267500,268500,266000,115635
3313,2014-09-15,267500,1500,265000,269500,264000,130917
3314,2014-09-12,266000,3500,263000,269500,263000,129568
3315,2014-09-11,262500,0,263000,264000,260000,280214
3316,2014-09-05,262500,0,262500,264500,262000,76829
3317,2014-09-04,262500,1500,262500,263500,261000,87937
3318,2014-09-03,261000,1500,262000,263500,258500,190767
3319,2014-09-02,262500,7500,270000,271000,260500,302470
3300,2014-09-01,270000,500,269500,273500,269000,92519
3301,2014-08-29,269500,4500,272000,274500,269500,175238
3302,2014-08-28,274000,1000,273000,276000,269500,130755
3303,2014-08-27,275000,0,277500,278500,274500,98527
3304,2014-08-26,275000,500,276000,277500,274500,81426
3305,2014-08-25,275500,500,275000,277500,273500,72858
3306,2014-08-22,275000,1000,275000,278000,274000,103387
3307,2014-08-21,276000,1000,278000,279000,274000,182776
3308,2014-08-20,277000,4500,275000,279000,272000,271094
3309,2014-08-19,272500,5500,268500,274500,268500,173316
3290,2014-08-18,267000,5000,273500,274000,266500,162712
3291,2014-08-14,272000,0,270500,273000,270000,129436
3292,2014-08-13,272000,1000,273000,273000,267000,161851
3293,2014-08-12,271000,500,270500,274500,268000,201267
3294,2014-08-11,271500,2500,275000,276000,269000,235196
3295,2014-08-08,274000,8500,282500,284000,270500,341786
3296,2014-08-07,282500,0,282500,285000,280500,80331
3297,2014-08-06,282500,1500,282000,286000,282000,102351
3298,2014-08-05,284000,6500,290500,291500,282000,196820
3299,2014-08-04,290500,500,291000,294000,288000,118400
3280,2014-08-01,290000,1000,290000,293000,289000,153376
3281,2014-07-31,291000,1500,288500,293000,287000,211312
3282,2014-07-30,289500,1500,292000,295000,288000,224451
3283,2014-07-29,291000,5000,286500,294000,284000,231613
3284,2014-07-28,286000,1500,284500,288000,282000,167216
3285,2014-07-25,284500,1500,287000,287500,284000,103136
3286,2014-07-24,286000,2500,290000,290000,282000,204927
3287,2014-07-23,288500,2000,285500,294000,282500,203847
3288,2014-07-22,286500,2000,284000,288500,283500,162392
3289,2014-07-21,284500,12500,293000,293500,283000,408031
3270,2014-07-18,297000,0,294000,299500,291000,199346
3271,2014-07-17,297000,4000,296000,299500,294500,229630
3272,2014-07-16,293000,6000,287000,295000,287000,283669
3273,2014-07-15,287000,8500,280000,293000,280000,292729
3274,2014-07-14,278500,5500,286500,287500,278000,188591
3275,2014-07-11,284000,3500,284000,285500,282000,146603
3276,2014-07-10,287500,3500,284000,290000,284000,189574
3277,2014-07-09,284000,1000,280500,285500,278500,214876
3278,2014-07-08,283000,8500,289500,292500,283000,254917
3279,2014-07-07,291500,1000,290500,292000,286000,174185
3260,2014-07-04,290500,1000,290500,294000,287000,156393
3261,2014-07-03,289500,5500,295000,295000,289000,207205
3262,2014-07-02,295000,1000,295000,300000,294000,249862
3263,2014-07-01,294000,2000,297000,297000,291500,136884
3264,2014-06-30,296000,2500,297000,298000,293500,156573
3265,2014-06-27,293500,1500,290000,297500,289000,259388
3266,2014-06-26,292000,1500,289500,292500,287500,156262
3267,2014-06-25,290500,2000,288500,292500,285000,187006
3268,2014-06-24,288500,2500,287000,291500,286500,142236
3269,2014-06-23,286000,4500,281500,290500,280000,243814
3250,2014-06-20,281500,8500,288000,289500,279000,230684
3251,2014-06-19,290000,2500,289500,292500,288500,204201
3252,2014-06-18,287500,500,286500,289000,286000,128759
3253,2014-06-17,287000,0,288500,290000,285500,271650
3254,2014-06-16,287000,11000,280500,289500,279500,505276
3255,2014-06-13,276000,1000,274500,278000,272500,191208
3256,2014-06-12,275000,500,274000,275500,271500,153468
3257,2014-06-11,275500,2000,271000,277000,269500,188767
3258,2014-06-10,273500,2000,273000,277500,272500,320993
3259,2014-06-09,271500,7500,266500,273000,265500,352918
3240,2014-06-05,264000,3500,268500,268500,262500,130721
3241,2014-06-03,267500,2000,265000,268500,263000,190001
3242,2014-06-02,265500,5500,261000,267000,261000,193647
3243,2014-05-30,260000,1500,261500,263500,258000,161617
3244,2014-05-29,261500,2000,265000,265500,259500,167172
3245,2014-05-28,263500,500,264000,264500,262500,105271
3246,2014-05-27,264000,1500,266000,268500,261500,89907
3247,2014-05-26,265500,2000,267000,268000,264000,119607
3248,2014-05-23,267500,500,267000,268500,265000,136525
3249,2014-05-22,267000,6000,262500,269500,262500,289334
3230,2014-05-21,261000,0,259000,262000,258500,102162
3231,2014-05-20,261000,500,263500,265000,258500,170803
3232,2014-05-19,261500,500,261500,262500,259000,125346
3233,2014-05-16,261000,2000,256500,262500,256500,144151
3234,2014-05-15,259000,500,260000,260000,256500,131220
3235,2014-05-14,258500,1500,259000,260000,257000,134691
3236,2014-05-13,257000,5500,252500,257500,251500,211036
3237,2014-05-12,251500,3500,255500,256000,249500,197042
3238,2014-05-09,255000,1000,255500,255500,253500,102221
3239,2014-05-08,256000,1000,256500,258000,252500,177645
3220,2014-05-07,257000,7000,263000,265500,255000,211885
3221,2014-05-02,264000,1000,265000,266500,263500,113739
3222,2014-04-30,263000,1000,262500,265000,261500,128777
3223,2014-04-29,262000,1000,264000,264500,258000,192755
3224,2014-04-28,263000,4500,265500,269500,262000,206959
3225,2014-04-25,267500,2500,269000,275500,265000,319961
3226,2014-04-24,270000,5500,274500,275500,269000,178518
3227,2014-04-23,275500,1000,278000,278500,273000,208473
3228,2014-04-22,274500,500,274500,275500,270000,169427
3229,2014-04-21,274000,6000,272000,276000,271000,395963
3210,2014-04-18,268000,5500,264000,269000,263000,204614
3211,2014-04-17,262500,1000,261500,265000,261500,90175
3212,2014-04-16,261500,500,262000,264000,261000,117935
3213,2014-04-15,261000,0,263000,264500,261000,128038
3214,2014-04-14,261000,6000,265500,266000,261000,245058
3215,2014-04-11,267000,3000,266000,270000,265000,212958
3216,2014-04-10,270000,1000,272500,272500,265000,207506
3217,2014-04-09,271000,1000,272000,272500,268500,178244
3218,2014-04-08,272000,2500,270000,274000,268000,318481
3219,2014-04-07,269500,7000,260000,270500,260000,357244
3200,2014-04-04,262500,500,264000,265000,262000,184432
3201,2014-04-03,262000,2500,265000,268500,262000,145261
3202,2014-04-02,264500,1000,267000,268000,264500,315965
3203,2014-04-01,263500,9500,254000,263500,254000,579438
3204,2014-03-31,254000,2000,256000,257000,253500,265413
3205,2014-03-28,252000,1500,252500,253500,250000,155685
3206,2014-03-27,253500,500,254000,255000,250000,182131
3207,2014-03-26,254000,0,257000,258500,253000,231536
3208,2014-03-25,254000,6000,248500,256500,246500,440930
3209,2014-03-24,248000,8500,244000,249500,242000,386819
3190,2014-03-21,239500,1000,237500,241500,237000,191786
3191,2014-03-20,238500,5000,242000,242500,236500,255637
3192,2014-03-19,243500,1000,245000,246000,242500,118483
3193,2014-03-18,244500,3000,243500,246000,242500,196104
3194,2014-03-17,241500,2000,238500,242500,238000,98037
3195,2014-03-14,239500,1500,236500,240500,235500,175918
3196,2014-03-13,241000,0,241500,242500,239000,248077
3197,2014-03-12,241000,3000,242500,245500,240000,248579
3198,2014-03-11,244000,2000,245000,245500,241500,273928
3199,2014-03-10,246000,5000,252500,253500,245000,297159
3180,2014-03-07,251000,500,253000,254000,250000,136373
3181,2014-03-06,251500,2000,250500,252500,249500,145928
3182,2014-03-05,249500,500,252500,254000,249000,182008
3183,2014-03-04,250000,2500,250500,251500,248500,172347
3184,2014-03-03,252500,2000,253500,254000,250000,173453
3185,2014-02-28,254500,3000,257500,258500,253500,194922
3186,2014-02-27,257500,1500,258500,260000,256000,144203
3187,2014-02-26,259000,2000,257000,261000,257000,249860
3188,2014-02-25,257000,8000,251500,257500,251000,315925
3189,2014-02-24,249000,2000,250000,251500,248000,117235
3170,2014-02-21,251000,1500,249000,251500,249000,109327
3171,2014-02-20,249500,3500,251500,252500,248000,243701
3172,2014-02-19,253000,1000,252000,254500,251500,107308
3173,2014-02-18,254000,2500,258000,258000,251500,162536
3174,2014-02-17,256500,500,259000,259500,256500,112365
3175,2014-02-14,256000,1500,255000,259000,254000,112896
3176,2014-02-13,254500,2500,256000,257500,253000,103141
3177,2014-02-12,257000,3000,256000,259000,254000,178416
3178,2014-02-11,254000,1500,252000,257500,251000,175995
3179,2014-02-10,252500,3000,250500,254500,250500,146625
3160,2014-02-07,249500,1000,252000,253000,248500,149940
3161,2014-02-06,248500,1500,250500,253500,246500,304377
3162,2014-02-05,250000,500,250000,254500,248500,236721
3163,2014-02-04,249500,4500,249000,250500,246000,341480
3164,2014-02-03,254000,6000,256000,259500,253000,268619
3165,2014-01-29,260000,0,262000,263000,259000,170631
3166,2014-01-28,260000,2000,260000,264000,256000,254571
3167,2014-01-27,262000,6500,261000,262000,259000,274790
3168,2014-01-24,268500,3500,271000,271000,267000,245940
3169,2014-01-23,272000,4000,276000,277000,271500,167963
3150,2014-01-22,276000,3000,273000,276000,270000,150834
3151,2014-01-21,273000,4000,269000,275500,269000,161557
3152,2014-01-20,269000,1000,269000,271500,265000,98787
3153,2014-01-17,270000,500,270500,273500,268000,169756
3154,2014-01-16,270500,1500,269500,271500,268000,127326
3155,2014-01-15,269000,1500,270500,271000,267500,154660
3156,2014-01-14,267500,2500,265500,269500,265000,179676
3157,2014-01-13,270000,3000,267500,270000,267000,130012
3158,2014-01-10,267000,1500,266500,273500,264500,358740
3159,2014-01-09,268500,6500,273500,274500,268000,318316
3140,2014-01-08,275000,2500,280000,280000,272000,355834
3141,2014-01-07,277500,7000,280000,284000,276500,429091
3142,2014-01-06,284500,1500,285500,287500,282500,120776
3143,2014-01-03,286000,6000,290000,292000,282500,224960
3144,2014-01-02,292000,7500,300500,303000,290500,180305
3145,2013-12-30,299500,4000,296000,299500,295500,127495
3146,2013-12-27,295500,500,295500,297500,294000,99817
3147,2013-12-26,296000,1500,296000,297500,295500,150348
3148,2013-12-24,294500,3500,292500,296500,291000,154193
3149,2013-12-23,291000,3000,295000,295500,289500,138341
3130,2013-12-20,294000,3000,293000,294500,289500,156421
3131,2013-12-19,291000,1500,297000,297000,290500,185224
3132,2013-12-18,292500,5000,286500,295000,286500,204849
3133,2013-12-17,287500,7500,282500,290000,282500,191403
3134,2013-12-16,280000,2000,281500,282500,280000,129471
3135,2013-12-13,282000,3000,284000,285500,280500,195759
3136,2013-12-12,285000,1000,284500,289000,280500,176570
3137,2013-12-11,286000,6000,289500,291000,284500,203722
3138,2013-12-10,292000,4000,294500,296000,292000,113420
3139,2013-12-09,296000,4500,295000,299000,294500,166602
3120,2013-12-06,291500,1500,289500,294000,289000,190042
3121,2013-12-05,290000,7000,283000,293000,282500,236710
3122,2013-12-04,283000,3000,285000,288000,281500,179188
3123,2013-12-03,286000,2500,288500,289000,284000,121592
3124,2013-12-02,288500,2000,291500,293000,286500,104253
3125,2013-11-29,290500,2500,287500,290500,287000,105453
3126,2013-11-28,288000,2000,288000,290000,287000,165781
3127,2013-11-27,286000,1500,288500,288500,280000,245273
3128,2013-11-26,287500,3000,287000,289000,284000,198386
3129,2013-11-25,290500,1000,294000,295000,290000,105615
3110,2013-11-22,291500,4500,290500,291500,287500,144516
3111,2013-11-21,287000,7500,295000,295000,284000,281190
3112,2013-11-20,294500,3500,299500,299500,293000,214321
3113,2013-11-19,298000,9000,293000,298500,291500,369038
3114,2013-11-18,289000,2500,289000,294000,288000,241298
3115,2013-11-15,286500,10500,277500,287000,277000,254625
3116,2013-11-14,276000,2000,280500,281500,272500,248584
3117,2013-11-13,278000,7000,285000,285500,276500,274095
3118,2013-11-12,285000,1000,287000,288500,283000,182073
3119,2013-11-11,284000,0,286500,290000,282000,194214
3100,2013-11-08,284000,1000,278500,287500,278500,261563
3101,2013-11-07,283000,1000,285500,288500,282000,219522
3102,2013-11-06,284000,500,284500,289500,281500,347477
3103,2013-11-05,284500,5500,291000,292000,283500,303633
3104,2013-11-04,290000,5000,294500,295500,288500,225186
3105,2013-11-01,295000,4500,304000,304000,291500,248207
3106,2013-10-31,299500,4500,302500,305000,298000,164561
3107,2013-10-30,304000,1000,304000,305000,300500,133156
3108,2013-10-29,303000,4000,299500,305000,298500,188948
3109,2013-10-28,299000,500,296000,300000,292000,262996
3090,2013-10-25,299500,9000,308500,311000,298500,262792
3091,2013-10-24,308500,5500,303500,308500,303500,167068
3092,2013-10-23,303000,3500,306500,309500,302000,253868
3093,2013-10-22,306500,5000,312000,314500,303500,406370
3094,2013-10-21,311500,11000,322500,322500,310000,395497
3095,2013-10-18,322500,2500,319500,322500,313000,242901
3096,2013-10-17,320000,2000,322000,324500,315500,174184
3097,2013-10-16,318000,5000,321000,323500,317500,244360
3098,2013-10-15,323000,7000,319000,323000,319000,260457
3099,2013-10-14,316000,4500,312500,318000,312500,231881
3080,2013-10-11,311500,7000,308000,314500,308000,273575
3081,2013-10-10,304500,2000,307500,311500,302500,253003
3082,2013-10-08,306500,11500,295000,308000,295000,306016
3083,2013-10-07,295000,4500,299500,299500,294500,185573
3084,2013-10-04,299500,4000,302500,303000,294500,285827
3085,2013-10-02,303500,0,305500,308000,303500,231803
3086,2013-10-01,303500,4000,305000,310500,302500,232436
3087,2013-09-30,307500,11500,318000,318000,307500,246525
