,date,close,diff,open,high,low,volume
4983,2005-12-08,26600,0,26400,27050,25800,15973488
4984,2005-12-07,26600,1850,24750,27400,24250,33017389
4965,2005-12-06,24750,550,23950,25000,23450,11957523
4966,2005-12-05,24200,600,23900,24400,23850,9915868
4967,2005-12-02,23600,1000,23550,23800,23250,13751933
4968,2005-12-01,22600,700,21900,22650,21900,10351177
4969,2005-11-30,21900,150,21750,22100,21700,9063805
4970,2005-11-29,21750,200,21800,21950,21350,7891004
4971,2005-11-28,21950,850,21100,22100,21000,14492305
4972,2005-11-25,21100,300,21350,21750,21050,10973571
4973,2005-11-24,21400,750,22200,22350,21250,13015120
4974,2005-11-23,22150,700,21850,22350,21700,16006345
4955,2005-11-22,21450,1950,22800,23400,21150,27815334
4956,2005-11-21,23400,150,23650,23850,23200,7496586
4957,2005-11-18,23250,1000,24550,24600,23000,12485615
4958,2005-11-17,24250,0,24300,24550,23850,6512567
4959,2005-11-16,24250,300,23900,24800,23900,11228000
4960,2005-11-15,23950,100,23650,24000,23200,8906111
4961,2005-11-14,23850,1100,22900,24100,22750,16150220
4962,2005-11-11,22750,700,22500,22800,22250,10273758
4963,2005-11-10,22050,250,21850,22150,21800,6719368
4964,2005-11-09,21800,100,21550,22150,21550,6406155
4945,2005-11-08,21700,300,22100,22150,21500,6461116
4946,2005-11-07,22000,850,21450,22000,21300,15054011
4947,2005-11-04,21150,1150,20500,21300,20400,18118348
4948,2005-11-03,20000,350,20200,20400,19950,11475802
4949,2005-11-02,19650,100,19600,19750,19300,9642744
4950,2005-11-01,19550,500,19200,19800,19200,15149725
4951,2005-10-31,19050,50,19300,19400,19050,10932690
4952,2005-10-28,19000,700,19350,19650,19000,11611441
4953,2005-10-27,19700,1250,19850,20350,19600,67108666
4954,2005-10-26,20950,1650,22500,22500,20850,20171588
4935,2005-10-25,22600,700,23500,23600,22550,6523805
4936,2005-10-24,23300,600,22900,23300,22700,4826412
4937,2005-10-21,22700,450,21850,22750,21850,4986769
4938,2005-10-20,22250,750,21800,22300,21650,6525718
4939,2005-10-19,21500,550,21750,22250,21450,5454270
4940,2005-10-18,22050,250,22400,22700,21750,5833208
4941,2005-10-17,22300,1050,23350,23600,22300,5672245
4942,2005-10-14,23350,450,23900,24000,22950,8738211
4943,2005-10-13,23800,600,23100,24100,22600,14352743
4944,2005-10-12,23200,550,23850,24150,23050,8445817
4925,2005-10-11,23750,1100,22450,23750,22450,7190139
4926,2005-10-10,22650,250,22600,22900,22400,5062397
4927,2005-10-07,22400,350,22600,22950,22400,4973105
4928,2005-10-06,22750,250,22900,23350,22700,7670390
4929,2005-10-05,23000,500,22700,23100,22550,7060851
4930,2005-10-04,22500,500,23100,23350,22350,8475208
4931,2005-09-30,23000,800,24000,24050,23000,7730920
4932,2005-09-29,23800,200,23600,23850,23150,5127976
4933,2005-09-28,23600,400,23800,24100,23200,7136340
4934,2005-09-27,24000,200,24150,24650,23750,7674634
4915,2005-09-26,23800,1000,23100,23800,23100,6178728
4916,2005-09-23,22800,750,23650,24150,22800,9226563
4917,2005-09-22,23550,50,23500,23800,23350,6643303
4918,2005-09-21,23500,150,23250,24200,23150,9512287
4919,2005-09-20,23650,350,24600,24850,23650,9493869
4920,2005-09-16,24000,100,24150,24450,23600,6291454
4921,2005-09-15,24100,250,24550,25450,23800,17275723
4922,2005-09-14,24350,1600,22700,24400,22700,18197587
4923,2005-09-13,22750,50,22800,23150,22200,7541348
4924,2005-09-12,22800,1300,21600,23000,21600,12663145
4905,2005-09-09,21500,50,21400,21900,21350,6679418
4906,2005-09-08,21450,250,21800,21900,21250,6864335
4907,2005-09-07,21700,300,22450,22650,21150,13926103
4908,2005-09-06,22000,1000,23200,23500,22000,7304799
4909,2005-09-05,23000,100,23350,23500,22900,4752489
4910,2005-09-02,22900,1000,21850,23200,21800,9960208
4911,2005-09-01,21900,500,21850,22100,21450,5802862
4912,2005-08-31,21400,850,20450,21500,20400,8041964
4913,2005-08-30,20550,400,20700,21050,20150,6985506
4914,2005-08-29,20150,800,20650,20850,20150,4857174
4895,2005-08-26,20950,750,20100,21250,20100,9747581
4896,2005-08-25,20200,150,20150,20550,20050,5779176
4897,2005-08-24,20350,250,20500,20900,20150,7331868
4898,2005-08-23,20600,950,21550,21750,20600,8316514
4899,2005-08-22,21550,750,20800,21550,20800,8238522
4900,2005-08-19,20800,700,21450,21700,20400,10174900
4901,2005-08-18,21500,600,22450,22700,21500,6708420
4902,2005-08-17,22100,250,22100,22400,21600,5713540
4903,2005-08-16,22350,300,22100,22900,22100,8724970
4904,2005-08-12,22050,1150,23400,23650,22050,10748679
4885,2005-08-11,23200,500,22550,23500,22350,7580765
4886,2005-08-10,22700,300,22750,23300,22600,9141683
4887,2005-08-09,22400,100,22200,22600,21900,7710784
4888,2005-08-08,22500,400,21600,22800,21550,9883240
4889,2005-08-05,22100,900,22600,22900,21900,10028607
4890,2005-08-04,23000,1000,23600,24150,23000,7842857
4891,2005-08-03,24000,650,25050,25550,24000,11123102
4892,2005-08-02,24650,1100,23350,24850,23350,9339473
4893,2005-08-01,23550,350,23900,24100,23400,4460030
4894,2005-07-29,23900,400,24000,24250,23700,6401238
4875,2005-07-28,23500,550,23600,24550,23200,15268454
4876,2005-07-27,22950,300,23200,23400,22550,9199806
4877,2005-07-26,22650,50,22700,23550,22400,11740262
4878,2005-07-25,22700,2150,20550,22700,20550,15230821
4879,2005-07-22,20550,300,19750,20850,19400,8911940
4880,2005-07-21,20250,550,20950,21400,19950,9168047
4881,2005-07-20,20800,1150,21800,21900,20400,8651256
